景点中文名称,景点英文名称,攻略数量,点评数量,景点地点,景点排名,驴友数量,景点简介
飞沙堰,Feisha Dam,10,95,都江堰,10,1%,都江堰水利工程的重要部分，具有泄洪排沙的功能。
成都蜀锦织绣博物馆,Chengdu Shujin Embroidery Museum,10,84,成都,110,0%,国内保存有完整的蜀锦手工制作工艺的场馆。
南郊公园,Chengdu Southern Suburb Park,10,81,成都,178,0%,夜晚的海滩，海浪拍打，潮声阵阵。
伏龙观,Fulong Temple,10,50,都江堰,42,1%,建在离堆的上面，三面都是悬崖，观内有东汉时期的李冰石刻像。
赵云墓,,10,15,大邑,4,0%,位于大邑县城东1公里的银屏山下。冢大如小丘，依山而建，气势雄伟泅周有石砌女墙，古柏森森。墓前有清幽雅静的木结构四合院建筑，正中竖有高2．5米、宽1米的墓碑，上刻“仅顺平侯赵云墓”七篆体大字，两侧刻有填金对联：“赤胆永枯江原父老，忠魂犹…
金土社区居委会文化服务中心,,10,15,成都,796,0%,秋天的森林，五彩缤纷，美不胜收。
女眷房,,10,15,大邑,655,0%,山谷中的秋色，一片金黄，美不胜收。
宝镜新村文化院坝,,10,15,邛崃,549,0%,草原上的野花开遍了每一个角落，如同大地的织锦。
金华山,Jinhuafu Mountain,10,14,邛崃,382,0%,雪后的松林，静谧祥和，银装素裹。
白云群洞,,10,14,都江堰,701,0%,夏日的泳池，清凉解暑，水中乐趣。
玉皇山慈云阁,,10,14,金堂,966,0%,湖面上的划船，轻轻摇曳，平静的水面。
玄乐,,10,14,成都,917,0%,雨中的城市，清新而湿润，洗净尘埃。
成都市第四军队离退休干部休养所,,10,14,成都,658,0%,山间的小溪，潺潺流水，清澈见底。
城厢武庙,,10,14,成都,771,0%,秋风的午后，微风送爽，落叶飘飘。
古椿园,,10,14,都江堰,929,0%,繁星之下，夜空深邃，让人感受到宇宙的浩瀚。
新川儿童公园,,10,14,成都,687,0%,河岸的石头，经过水流的冲刷，光滑如镜。
江都名园,,10,14,都江堰,305,0%,山顶的云海，云蒸霞蔚，如在仙境。
大熊猫2号馆,,10,13,成都,306,0%,雪地里的足迹，记录着旅人的脚步，探索的痕迹。
孝恩堂,,10,13,成都,449,0%,湖边的清晨，水雾弥漫，如梦如幻。
张圣奘故居,,10,13,成都,728,0%,夏夜星空，繁星点点，如梦如幻。
马掌野行北门露营仓库,,10,13,成都,862,0%,梅雨季节的竹林，绿意盎然，雨滴点点。
极客户外运动露营基地,,10,13,金堂,769,0%,海岛上的椰影，摇曳生姿，风情万种。
绿洲园林小镇,,10,13,成都,383,0%,炊烟袅袅，升起在清晨的乡村，带来家的味道。
爱乐园(晨辉东路店),,10,12,成都,778,0%,湖光山色，风景如画，美不胜收。
溪野.卡丁车露营地,,10,12,彭州,415,0%,秋天的田野，稻谷泛黄，金色的波浪。
鹏基石材艺术馆,,10,11,成都,924,0%,湖光山色间的小舟，缓缓行驶，悠闲自得。
朱家湾飞行营地,,10,11,成都,320,0%,山顶的云海，云蒸霞蔚，如在仙境。
八角古井,,10,11,成都,895,0%,湖边的清晨，水雾弥漫，如梦如幻。
成都恋爱博物馆,,10,11,成都,531,0%,晴朗的天空下，白云朵朵，如棉花糖。
上海泰御堂图书馆,,10,11,成都,539,0%,高山流水，回荡着清脆的琴声，悠扬入耳。
水井坊文化美学馆022,,10,11,成都,511,0%,公园的傍晚，散步的人们，一天的结束。
安妮花阅读馆(通用时代店),,10,11,成都,587,0%,晨跑的小道，清新的空气，充满活力。
龙泉,,10,10,成都,58,0%,位于成都市东部龙尔山上，是1984年以来新开辟的市级风景名胜区。包括花果山、百工堰、龙泉湖、石径寺等景区景点。
六祇馆,,10,10,成都,748,0%,炊烟袅袅，升起在清晨的乡村，带来家的味道。
萌咪佳阅读馆,,10,10,成都,314,0%,春天的花丛，花香袭人，色彩斑斓。
跳跳云朵,,10,10,成都,739,0%,雪后的松林，静谧祥和，银装素裹。
三皇寺,,10,10,崇州,498,0%,雨后的森林，空气清新，万物更新。
财神祖庙,,10,10,都江堰,701,0%,冬季的林道，雪花飘飘，寒风凛冽。
四川省视力保护科普基地眼镜博物馆,,10,10,成都,982,0%,海上的日落，天际一片金红，壮丽的景象。
鼓楼,,10,10,成都,700,0%,雨中的城市，清新而湿润，洗净尘埃。
慎独斋,,10,10,金堂,729,0%,晨曦的山峦，阳光洒满山间，光影交错。
初唐四杰雕塑,,10,9,成都,554,0%,湖泊的黄昏，夕阳无限好，只是近黄昏。
兰景科技馆,,10,9,成都,603,0%,日出东海，晚归山色，美不胜收。
爆发二刘大战,,10,9,大邑,364,0%,平静的湖面上，偶尔掠过的水鸟，留下涟漪。
饮中八仙,,10,9,成都,854,0%,古镇的河流，古朴的风情，悠久的历史。
鸿蒙遗石,,10,9,都江堰,557,0%,山间的云雾，缥缈间，仿佛仙境。
青青麓营地,,10,9,成都,950,0%,山顶的日出，阳光洒满大地，希望的光芒。
NAEC美育学生作品展,,10,8,成都,662,0%,沙漠的日落，天边一抹残阳，如火如血。
大熊猫4号馆,,10,8,成都,638,0%,高山上的日落，晚霞如火，壮丽无比。
党建馆,,10,8,成都,985,0%,雪中的松树，枝头挂满雪花，银白世界。
宝藏寺,,10,8,邛崃,809,0%,冬季的河流，冰封河面，静谧无声。
凤仪阁,,10,8,成都,641,0%,夏夜的荷塘，荷叶田田，荷花盛开。
僖宗遗础,,10,8,成都,534,0%,秋天的果实，硕果累累，丰收的喜悦。
万木留香博物馆宴会中心,,10,7,彭州,665,0%,高山上的日落，晚霞如火，壮丽无比。
muse week(天荟·万科广场店),,10,7,成都,399,0%,繁星之下，夜空深邃，让人感受到宇宙的浩瀚。
诗圣杜甫雕塑,,10,7,成都,660,0%,古镇的石桥，见证了千年的流转，依旧坚固。
千亩荷塘荷花基地,,10,7,崇州,979,0%,海边的晨光，海浪轻拍，阳光金灿。
荷花观赏区,,10,7,成都,698,0%,秋天的树林，五彩缤纷，如诗如画。
滨江绿道,,10,7,成都,764,0%,山顶的云海，云蒸霞蔚，如在仙境。
白塔寺,,10,7,邛崃,307,0%,晨曦的山峦，阳光洒满山间，光影交错。
中和湿地-湖区段,,10,7,成都,931,0%,草原上的野花开遍了每一个角落，如同大地的织锦。
成都市龙泉驿区第二十二小学生乡村学校少年宫,,10,7,成都,343,0%,春日的樱花，粉嫩花瓣，如云似霞。
影境仿真植物景观,,10,6,成都,978,0%,瀑布从高崖上直泻而下，声如雷鸣，气势磅礴。
含翠轩,,10,6,成都,892,0%,高山的夜晚，繁星点点，宁静致远。
萌宠乐园-雕塑/相聚,,10,6,成都,644,0%,星光点点，夜空深邃，宁静而深远。
西岭雪山大飞水景区-英雄岗纪念碑,,10,6,大邑,381,0%,公园的秋日，落叶纷飞，金黄一片。
白鹭湾科技生态园,,10,6,成都,863,0%,秋高气爽的山间，风清气朗，心旷神怡。
四川爱华学院图书馆,,10,6,成都,928,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
成都高新区文化馆石羊街道分馆,,10,6,成都,420,0%,林间小径，鲜花簇拥，步入其中如入花海。
蝴蝶滩,Butterfly Beach,10,5,邛崃,19,0%,湿地上的芦苇，随风摇曳，生态丰富。
天宫寺,,10,5,大邑,453,0%,湖光山色，相映成趣，风景如画。
晨曦露营地,,10,5,成都,920,0%,河畔的春天，绿树成荫，鸟语花香。
滨河憩园,,10,5,成都,977,0%,河流的倒影，如同绘画，美不胜收。
绿洲植物园,,10,5,成都,769,0%,高山上的日落，晚霞如火，壮丽无比。
清风亭,,10,5,成都,692,0%,雨中的城市，清新而湿润，洗净尘埃。
大溪谷旅游度假区,,10,5,蒲江,872,0%,高山的夜晚，繁星点点，宁静致远。
王音庙,,10,5,金堂,984,0%,雾气中的城堡，如同童话中的场景，神秘莫测。
五龙沟,Wulong Ditch,10,4,都江堰,28,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
蒲砚村村史馆,,10,4,蒲江,774,0%,春天的田野，绿草如茵，花开满野。
中国当代绘画交流作品陈列馆,,10,4,彭州,957,0%,夏夜的荷塘，荷叶田田，荷花盛开。
安妮华阅读馆(皇冠国际店),,10,4,成都,320,0%,远山如黛，层峦叠嶂，青绿交织。
青禾生活文化馆,,10,4,成都,538,0%,农村的晨曦，炊烟袅袅，生活的味道。
城市星野-兴隆湖营地,,10,4,成都,351,0%,夜晚的星空，满天星斗，宁静深远。
驼峰过山车,,10,4,成都,464,0%,雨中的城市，街道湿润，清新的空气。
仁义林,,10,4,成都,621,0%,雨中的街道，雨滴跳跃，清新洗净。
笔山寺,,10,4,邛崃,889,0%,沙滩上的脚印，记录着旅人的足迹，故事连连。
向家垭口,,10,3,金堂,888,0%,瀑布飞流直下，水雾飘渺，景色壮观。
萤火竹舍,,10,3,成都,639,0%,海边的帆船，随风而动，探索无限。
桂花林,,10,3,邛崃,678,0%,湖泊的早晨，轻雾缭绕，宁静致远。
竹歌稻甲甲鱼生态养殖基地,,10,3,金堂,802,0%,林间小路，光影斑驳，仿佛通往未知的世界。
花海梯田,,10,3,崇州,484,0%,雨季的绿色，生机勃勃，绿色覆盖大地。
海洋世界,,10,3,成都,599,0%,湖泊的早晨，轻雾缭绕，宁静致远。
十二桥遗址,,10,2,成都,179,0%,十二桥遗址位于四川省成都市蜀都大道十二桥路，是十二桥文化的中心聚落遗址，为商代至西周（公元前1700－前771年）建筑遗址。
何家大院露营地,,10,2,崇州,618,0%,冰川在阳光的照射下闪耀着光芒，宛如世界的尽头。
礼法洛水,,10,2,成都,728,0%,湖边的清晨，水雾弥漫，如梦如幻。
张仲景雕像,,10,2,成都,682,0%,繁星之下，夜空深邃，让人感受到宇宙的浩瀚。
脚踏船,,10,2,成都,956,0%,雨后的彩虹，桥接天地，彩色的希望。
星光灿烂蜡像馆,,10,2,成都,873,0%,秋天的树林，五彩缤纷，如诗如画。
乾三门,,10,1,成都,995,0%,雨后的山谷，清新脱俗，空气湿润。
成都大学斯特灵学院-阅览室,,10,1,成都,913,0%,峡谷之中，回声悠长，仿佛在诉说着古老的传说。
酱园公所,,10,1,成都,830,0%,海上的日出，光芒万丈，希望的开始。
红桐艺术陵园,,10,1,成都,813,0%,绿色的田野上，风吹麦浪，波光粼粼。
雾中山,,10,1,大邑,558,0%,霜降时分，晶莹的霜花装饰着窗户，美轮美奂。
了凡木文化博物馆,,10,1,成都,392,0%,梦幻的海岛，碧海蓝天，美不胜收。
儿童爬山车,,10,1,成都,321,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
金城寺,,10,1,彭州,524,0%,晨雾中的古桥，宛如通往另一个世界的门户。
海棠花境,,10,1,成都,653,0%,湖中的小岛，静谧而神秘，探索的乐趣。
望丛祠,Pi County Wangcong Memorial,9,194,成都,202,0%,纪念古蜀国两位著名君主望帝和丛帝合葬的墓地和祠宇。
玉垒山公园,Yuleishan Park,9,120,都江堰,23,0%,公园内树木茂盛，还有一段明代的古城墙，是当地人晨练的地方。
客家农耕文化景观,,9,15,成都,411,0%,夜晚的萤火虫，点缀着夏夜，如同地上的星星。
精品蜀绣展示,,9,15,成都,452,0%,沙滩上的日落，大海和夕阳同辉，景色迷人。
湖心岛,,9,15,成都,385,0%,山脚的小村庄，宁静祥和，远离喧嚣。
都江堰民族,,9,15,都江堰,948,0%,密林深处的小溪，静静流淌，清澈见底。
成都市金牛区人民政府健康主题公园,,9,15,成都,859,0%,山顶的云海，云蒸霞蔚，如在仙境。
石经寺-客堂,,9,15,成都,720,0%,春日的樱花，粉嫩花瓣，如云似霞。
红军在大邑历史展览室,,9,15,大邑,854,0%,秋风萧瑟，金黄的叶片纷纷扬扬。
安澜索桥陈列室,,9,14,都江堰,605,0%,迷雾中的山峰，神秘莫测，引人探索。
童梦花园,,9,14,成都,539,0%,夏夜的荷塘，荷叶田田，荷花盛开。
环卫工人休息室,,9,14,都江堰,693,0%,晨光中的湖畔，湖面波光粼粼，宁静致远。
花语长廊,,9,14,成都,448,0%,秋日的湖边，湖面波光粼粼，风景如画。
鲁家滩沙滩,,9,14,成都,646,0%,热带海岛的早晨，海风习习，椰风海韵。
同堂馆,,9,14,成都,639,0%,雨后的山谷，清新脱俗，空气湿润。
贤仁草庐,,9,13,成都,711,0%,草丛中的露珠，犹如清晨的眼泪，清新而纯洁。
天彭镇牡丹生态旅游产业园,,9,13,彭州,479,0%,早晨的海面，日光照射，波光粼粼。
花园城湖滨公园,,9,13,成都,621,0%,雪后的公园，银装素裹，纯净美丽。
庾信雕塑,,9,13,成都,985,0%,河流的倒影，如同绘画，美不胜收。
叙兰亭,,9,13,成都,405,0%,秋天的丰收，果实累累，田野一片金黄色。
清代石狮,,9,13,成都,340,0%,公园的早晨，晨练的人们，生活的节奏。
忘忧宫,,9,13,成都,847,0%,河岸的花朵，随风摇曳，芬芳扑鼻。
观音寺,,9,13,成都,617,0%,晴朗的夜晚，满天星斗，璀璨夺目。
散花书院,,9,13,成都,945,0%,山谷中的秋色，层林尽染，色彩斑斓。
温江鲁家滩湿地公园-露营地,,9,13,成都,518,0%,热带雨林的午后，热气腾腾，生机勃勃。
康家沟,Kangjiagou,9,12,邛崃,569,0%,河流的倒影，如同绘画，美不胜收。
都安井,,9,12,成都,795,0%,高峰的岩石，经历风雨的洗礼，坚硬如铁。
桃源铭步道-露营地,,9,12,成都,519,0%,公园的早晨，晨练的人们，生活的节奏。
天鹅湖,,9,12,成都,825,0%,海滨的日出，海平面上升起的太阳，光彩夺目。
兴家报国,,9,12,成都,994,0%,公园的秋日，落叶纷飞，金黄一片。
小飞侠高空观光,,9,11,成都,322,0%,冬季的河流，冰封河面，静谧无声。
三义庙,,9,11,大邑,752,0%,山脉的清晨，云雾环绕，如仙境一般。
三苏雕塑,,9,11,成都,901,0%,山顶的云海，云蒸霞蔚，如在仙境。
川主庙,,9,11,邛崃,375,0%,夜晚的城市公园，灯光与夜色交织，美轮美奂。
大明寺,,9,11,金堂,848,0%,高山上的日落，晚霞如火，壮丽无比。
成都建工工地大千博物馆,,9,11,成都,857,0%,古镇的河流，古朴的风情，悠久的历史。
原野GLAMPING ·理想营地,,9,11,成都,657,0%,夜晚的星空，满天星斗，宁静深远。
千禧宝贝青少年馆,,9,11,成都,438,0%,雪后山村，银装素裹，一片宁静。
四川博物院-展厅,,9,10,成都,609,0%,农田的秋天，丰收的季节，金黄色的田野。
安仁彩灯不夜城(周家大院),,9,10,大邑,598,0%,夜晚的海滩，海浪拍打，潮声阵阵。
未央湖,,9,10,成都,817,0%,日出东海，晚归山色，美不胜收。
吕祖殿,,9,10,成都,311,0%,湖面的清晨，水雾弥漫，如梦如幻。
汽车主题公园,,9,10,成都,725,0%,山间的小溪，潺潺流水，清澈见底。
王爷庙,,9,10,大邑,882,0%,湖中的倒影，清晰可见，仿佛另一个世界。
标本博物馆荒石公园,,9,10,成都,965,0%,冬日的暖阳，温暖而宁静，慵懒地洒在地上。
海回寺,,9,9,邛崃,383,0%,热带雨林，充满生机，绿色覆盖每一寸土地。
都江堰市海星水族馆,,9,9,都江堰,531,0%,夜晚的星空，闪烁的星星，璀璨如梦。
环卫工人休息室,,9,9,成都,482,0%,热带雨林，充满生机，绿色覆盖每一寸土地。
水竹居,,9,9,成都,869,0%,潺潺的溪流，穿过森林，流向远方的海洋。
金堂县三烈党史陈列室,,9,9,金堂,533,0%,沙滩上的日落，大海和夕阳同辉，景色迷人。
宜居水岸露营地,,9,9,成都,816,0%,河畔的垂柳，轻拂水面，添了几分柔情。
小磨房,,9,9,邛崃,866,0%,公园的秋日，落叶纷飞，金黄一片。
萤火虫科普馆,,9,8,成都,383,0%,河岸的石头，经过水流的冲刷，光滑如镜。
接叶亭,,9,8,成都,994,0%,春天的田野，绿草如茵，花开满野。
教z书先生·时间书房,,9,7,成都,675,0%,夏日的泳池，清凉解暑，水中乐趣。
国际盆景赏石协会(BCI)中国地区委员会四川国际交流中心,,9,7,成都,583,0%,湖面的夜色，月光倒映，静谧优美。
酷玩baby儿童乐园,,9,7,成都,527,0%,雾中的山路，曲折蜿蜒，充满未知。
安娜利泽雕塑,,9,7,大邑,612,0%,晴天的云朵，轻盈飘逸，变换无穷。
晋风堂,,9,7,成都,415,0%,雪地里的足迹，记录着旅人的脚步，探索的痕迹。
大地魂,,9,7,成都,664,0%,露天音乐会，音乐与自然的融合，激动人心。
桃花岛露营地,,9,7,成都,526,0%,秋日的湖边，湖面波光粼粼，风景如画。
太平社区综合文化活动室,,9,7,成都,323,0%,热带海岛的早晨，海风习习，椰风海韵。
川主庙,,9,7,蒲江,350,0%,海浪拍岸，发出阵阵响声，激荡人心。
卧佛洞,,9,7,都江堰,328,0%,山间的小溪，清澈见底，水声潺潺。
半山亭,,9,7,邛崃,373,0%,湖泊的早晨，轻雾缭绕，宁静致远。
美乐园农家乐度假山庄,,9,6,成都,370,0%,秋天的森林，五彩缤纷，美不胜收。
真武山憩园,,9,6,成都,749,0%,春日的樱花，粉嫩花瓣，如云似霞。
成都欧铁装饰有限公司员工活动室,,9,6,成都,333,0%,滑雪场的冬日，雪地里的速度与激情，寒冷中的热情。
山野·听风,,9,6,成都,927,0%,雪中的松树，枝头挂满雪花，银白世界。
江家艺苑儿童乐园,,9,6,成都,905,0%,农村的晨曦，炊烟袅袅，生活的味道。
豪华转马,,9,6,成都,595,0%,夜晚的星空，闪烁的星星，璀璨如梦。
烈士纪念碑广场,,9,6,彭州,986,0%,寒冷的冬日，暖阳透过云层，温暖如春。
草月石庵,,9,5,成都,665,0%,冬季的雪景，银装素裹，世界变得宁静。
青白江,,9,5,彭州,316,0%,春天的樱花，如云似霞，满树繁花。
山体艺术浮雕墙,,9,5,成都,599,0%,炎热的夏日，清凉的湖水，泳者的天堂。
忘忧谷漂流,,9,5,都江堰,791,0%,公园的秋日，落叶纷飞，金黄一片。
张河鹿.营地,,9,5,成都,692,0%,露珠在花瓣上滚动，晶莹剔透，犹如珍珠。
中建留声记·1982,,9,4,成都,404,0%,古老的城墙，见证了历史的变迁，依然屹立不倒。
成都大熊猫繁育研究基地-救护站,,9,4,成都,768,0%,潺潺的溪流，穿过森林，流向远方的海洋。
四川博物院少儿书画精品展厅,,9,4,成都,576,0%,山间的野餐，享受着自然的馈赠，快乐无比。
龙脊花径,,9,4,成都,837,0%,湖边的垂柳，姿态优美，添了几分诗意。
海窝子古镇-瞿上古都牌坊,,9,4,彭州,433,0%,古镇的河流，古朴的风情，悠久的历史。
索道文化展厅,,9,4,大邑,611,0%,雨中的街道，雨滴跳跃，清新洗净。
天府艺术公园成都市美术馆-B区,,9,4,成都,952,0%,热带雨林的探险，丰富的生物多样性，探秘之旅。
旱溪谷,,9,4,金堂,840,0%,山顶的日出，阳光洒满大地，希望的光芒。
中兴镇梅花大道青城有家,,9,3,都江堰,964,0%,高山上的日落，晚霞如火，壮丽无比。
爱心长廊,,9,3,成都,771,0%,沙漠的日落，天边一抹残阳，如火如血。
海豚交流广场,,9,3,成都,786,0%,夜晚的星空，闪烁的星星，璀璨如梦。
新都漫花庄园-游船,,9,3,成都,690,0%,湖光山色，风景如画，美不胜收。
兴乐桥,,9,2,邛崃,14,0%,晚上在兴乐桥河坝可以放河灯和孔明灯。
刚侯园,,9,2,成都,934,0%,滨海的摩天轮，高高在上，俯瞰海景。
成都文艺志愿者活动基地,,9,2,大邑,954,0%,热带海岛的早晨，海风习习，椰风海韵。
观佛崖,,9,2,邛崃,408,0%,山谷间的回声，如同古老的歌谣，回荡在空中。
玉岸长堤,,9,2,成都,529,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
观音庙,,9,2,成都,831,0%,沙漠的早晨，日出东方，光芒四射。
李清照雕塑,,9,1,成都,967,0%,山中的泉水，清甜可口，自然的恩赐。
羊马街道中华社区文化活动室,,9,1,崇州,805,0%,晨跑的小道，清新的空气，充满活力。
花舞人间,Flower Dance World,8,684,成都,18,0%,园内有大量的花卉，是赏花休闲的好地方，还能参加亲子采摘活动。
平乐古镇,Pingle Ancient Town,8,446,邛崃,1,1%,以原生态的川西古建筑和古朴民风著称，还有川西一绝“乐善桥”。
离堆公园,Lidui Park,8,299,都江堰,6,1%,都江堰景区的入口，有伏龙观和都江堰博物馆等景点。
上清宫,Shangqing Palace,8,162,都江堰,37,1%,青城山里位置最高的道观，香火旺盛可以祈福，也适合观日出。
天然图画,Natural Picture Workshop,8,51,都江堰,32,0%,建于清朝的亭阁，还是登山路上的一处补给站。
邛崃竹溪湖,Qionglai Zhuxi Lake,8,44,邛崃,16,0%,海上的日出，光芒万丈，希望的开始。
百丈长桥,Baizhang Bridge,8,21,都江堰,29,0%,蜿蜒百米的木桥，桥下清澈的流水，头上绿荫遮日，避暑的好地方。
花溪美育基地,,8,15,都江堰,351,0%,湖面的夜色，月光倒映，静谧优美。
张志和故居,,8,15,邛崃,579,0%,夏夜星空，繁星点点，如梦如幻。
津津希望儿童乐园,,8,15,成都,758,0%,山间的小溪，清澈见底，水声潺潺。
功勋林,,8,15,成都,561,0%,山顶上的草原，风吹草低见牛羊，广阔无垠。
平沙落雁-二期,,8,15,邛崃,449,0%,晴朗的夜晚，满天星斗，璀璨夺目。
半边山,,8,15,成都,675,0%,秋天的田野，稻谷泛黄，金色的波浪。
都江堰蓉城花韵,,8,14,都江堰,346,0%,夜晚的灯塔，发出的光芒，引导着远航者。
郸都区徐堰河柏条河府河,,8,14,成都,858,0%,密林深处的野花，色彩斑斓，竞相开放。
龙溪谷戏水区,,8,14,成都,483,0%,夜晚的海滩，海浪拍打，潮声阵阵。
沙河源街道图书阅览室,,8,14,成都,534,0%,夜晚的星空，满天星斗，宁静深远。
成都大熊猫繁育研究基地-观光车大熊猫博物馆站,,8,13,成都,344,0%,清晨的露水闪烁着光芒，如同镶嵌在绿叶上的珍珠。
大堡礁海洋乐园,,8,13,成都,509,0%,清晨的田野上，露珠闪烁，一派生机盎然。
南天灵官殿,,8,13,都江堰,624,0%,晨光中的湖畔，湖面波光粼粼，宁静致远。
花田社区书房,,8,13,成都,744,0%,星光点点，夜空深邃，宁静而深远。
晴彩轩阳光房凉亭,,8,13,成都,793,0%,公园的秋日，落叶纷飞，金黄一片。
百神殿,,8,13,成都,912,0%,雨中的城市，街道映着灯光，梦幻般的美。
九陇运动公园,,8,13,彭州,740,0%,晨曦的山峦，阳光洒满山间，光影交错。
幸福松鼠,,8,13,金堂,363,0%,森林的小径，幽静而神秘，探索的乐趣。
镇山王,,8,13,都江堰,399,0%,沙漠的日落，天边一抹残阳，如火如血。
金连山,,8,13,金堂,880,0%,潮湿的海滩，细软的沙粒，海浪的歌声。
藏羌探险,,8,13,都江堰,386,0%,河畔的春天，绿树成荫，鸟语花香。
锦清亭,,8,12,成都,624,0%,潮湿的雨林中，瀑布轰鸣，水汽弥漫。
锦官桥,,8,12,成都,723,0%,海上的日出，光芒万丈，希望的开始。
天府锦红美文红旅基地,,8,12,邛崃,545,0%,雾气中的城堡，如同童话中的场景，神秘莫测。
长征雕像,,8,12,邛崃,309,0%,高山上的日落，晚霞如火，壮丽无比。
金凤山樱花溪,,8,12,崇州,629,0%,林间小径，鲜花簇拥，步入其中如入花海。
文昌里,,8,12,邛崃,850,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
大桥湾风铃渡,,8,12,都江堰,817,0%,秋日的背包旅行，发现未知的美，丰富旅程。
芙蓉花海,,8,11,成都,479,0%,高山上的日落，晚霞如火，壮丽无比。
龙岩寺摩崖石刻,,8,11,成都,445,0%,山间的瀑布，水珠飞溅，清凉一夏。
般古,,8,11,成都,452,0%,夜晚的城市公园，灯光与夜色交织，美轮美奂。
域上和美艺术馆艺术体验中心,,8,11,成都,989,0%,春天的樱花，如云似霞，满树繁花。
太乙宫,,8,11,金堂,319,0%,雨后的山谷，清新脱俗，空气湿润。
齐天庙,,8,11,大邑,735,0%,晴天的云朵，轻盈飘逸，变换无穷。
清风廊,,8,10,成都,487,0%,秋日的湖边，湖面波光粼粼，风景如画。
飞越丛林,,8,10,成都,789,0%,夏夜的荷塘，荷叶田田，荷花盛开。
都江古堰二王庙宾馆-会议厅,,8,10,都江堰,483,0%,炎热的午后，阵阵凉风，带来丝丝凉意。
名官祠,,8,10,都江堰,786,0%,高山上的日落，晚霞如火，壮丽无比。
翠月湖,Jade Lake,8,9,都江堰,49,0%,翠月湖位于青城山山麓的岷江河畔，距都江堰8公里，距青城山9公里，依山傍水，翠林环绕，空气清新， 气候宜人，仿佛一颗碧绿的钻石嵌在成都至九寨沟黄金旅游线上。
爱,,8,9,邛崃,916,0%,夜晚的露营地，篝火晚会，温馨而快乐。
上鱼,,8,9,成都,816,0%,山间的小溪，潺潺流水，清澈见底。
猎枪会纪念馆,,8,9,彭州,368,0%,冬季的雪景，银装素裹，世界变得宁静。
三教堂,,8,9,金堂,862,0%,海边的晚霞，晚霞映红了整个天空，美轮美奂。
五显庙,,8,9,金堂,383,0%,雨后的彩虹，横跨天际，绚烂夺目。
郫都区图书馆24小时自助图书馆,,8,9,成都,960,0%,热带雨林的深处，充满神秘，生命力旺盛。
平乐音乐广场,,8,8,邛崃,30,0%,景观音乐广场，为当地人和游客提供一个休闲娱乐的广场。
青云门,,8,8,成都,559,0%,湖中的小岛，静谧而神秘，探索的乐趣。
金色春谷,,8,8,金堂,308,0%,河岸的花朵，随风摇曳，芬芳扑鼻。
三圣花乡·幸福梅林,,8,8,成都,688,0%,草地上的野餐，享受自然的馈赠，家人的欢聚。
陶然亭,,8,8,成都,772,0%,冬季的河流，冰封河面，静谧无声。
桃园(翔凤路),,8,8,都江堰,724,0%,海边的船只，迎着晨光启航，希望的旅程。
白鹭湖,,8,7,成都,490,0%,雨后的森林，空气清新，万物更新。
法式亭子,,8,7,成都,314,0%,雨后的彩虹桥，连接着两岸，象征着希望。
幽篁抚琴雕像,,8,7,成都,401,0%,夜晚的海滩，海浪拍打，潮声阵阵。
保利198公园-观景台,,8,7,成都,723,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
寿堂,,8,7,大邑,546,0%,雨后的山谷，清新脱俗，空气湿润。
大野溪地露营,,8,7,大邑,646,0%,沙滩上的晚霞，晚霞映红了整个天空，美轮美奂。
钟楼,,8,7,成都,675,0%,雨中的城市，街道湿润，清新的空气。
养勤图书馆,,8,6,成都,424,0%,春天的花丛，花香袭人，色彩斑斓。
第三极,,8,6,成都,470,0%,公园的秋日，落叶纷飞，金黄一片。
翁仲雕像,,8,6,成都,995,0%,河流旁的芦苇，随风摇曳，生态丰富。
五里长坡,,8,6,成都,541,0%,湖中的小岛，静谧而神秘，探索的乐趣。
金韦社区协会组织群众文化阅览室,,8,6,成都,658,0%,沙漠的黄昏，大地与天空同色，壮观迷人。
成都医学院-图书馆,,8,6,成都,566,0%,高山上的日落，晚霞如火，壮丽无比。
东岳庙,,8,6,邛崃,881,0%,海上的日出，光芒万丈，希望的开始。
草堂影壁,,8,6,成都,436,0%,夜晚的海滩，海浪拍打，潮声阵阵。
走江鱼嘴,,8,5,都江堰,344,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
黑龙潭,,8,5,邛崃,864,0%,海滨的日出，海平面上升起的太阳，光彩夺目。
两河口,Lianghekou,8,5,金堂,841,0%,寒冷的冬日，暖阳透过云层，温暖如春。
清水乐园滩,,8,5,大邑,846,0%,高峰的岩石，经历风雨的洗礼，坚硬如铁。
天台山石牌坊及照壁,,8,5,邛崃,612,0%,露天电影夜，星空下的电影，别有一番风味。
后院,,8,5,成都,349,0%,霜降时分，晶莹的霜花装饰着窗户，美轮美奂。
觅山·露营地,,8,5,崇州,828,0%,晚霞满天，如火如荼，映红了半边天空。
亲子乐园,,8,5,邛崃,370,0%,海边的船只，迎着晨光启航，希望的旅程。
I AM HERE大熊猫,,8,5,成都,406,0%,秋天的森林，五彩缤纷，美不胜收。
