景点名称,美食评分,人均消费,地址,推荐菜,评价
东颖龙火锅城(玉林店),4.8,69,武侯区 一环路南三段芳草街6号王府花园商业广场1楼,"茼蒿	肥牛	菠菜面",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
一点味(欧尚店),3.5,21,金牛区羊西线蜀汉路89号花好月圆广场附18号(欧尚超市对面),"哈密瓜奶茶	意大利面	卤肉饭	红绕肉饭	泡椒牛肉	大排饭	板栗烧鸡饭	红烧狮子头饭	香辣排骨饭",快餐店。各类饭、面“总体味道可以”，搭配也“比较合理”，招牌卤肉饭“最好吃”。环境“蛮不错的”，“有很多书可以看”。“…
一点味餐厅(华阳店),4.3,21,华阳大道一段116号,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
廖记棒棒鸡(双楠店),4,24,龙湾菜市龙华北路7号附17号,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
黑门烤肉居酒屋(穿巷子店),4,109,四川省成都市锦江区穿巷子22号,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",超赞的高级牛肉料理，菲力骰子和烤牛舌是招牌菜。蒜泥茄子惊喜满满！
林一家川菜馆(春熙路店),4.3,61,慈惠堂街7号附3号（正成·财富ID一楼）,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",鱼香肉丝的莴笋和肉丝切得很细，酸甜下饭。
郫县红星饭店,3.5,42,郫县老成灌路郫县红星上场口,"豆花肥肠	外婆豆腐干	砣沱鱼	小抄香豆干	酸菜脑花	沱砣鱼	老福坛	叉烧脆	红星饭店的粽子	糖扎",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
龙继斑鱼庄(犀浦店),3.5,74,郫县犀浦西区花园兴业南街72号(近西区花园),"辣椒和姜料	斑鱼",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
有家鱼庄(江安河西路上段店),5,57,四川省成都市都江堰市江安河西路上段254号,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
今山谷(双林巷店),3.5,92,成华区双林巷11号?,"驴肉汤锅	拌驴肉	驴杂	豌豆尖	驴肉	驴肉米线",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
珍奶会所(玉林南路店),3.6,8,武侯区 玉林南路3号附23号,"焦糖红豆龙珠	玫瑰奶茶",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
阿郎烤魚,4.5,80,武侯区 玉林南路,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
虾佬圣汤火锅(人民南路店),4.5,182,武侯区人民南路四段48号首座富豪酒店内(近桐梓林南路),"扇贝	娃娃菜	进口大花虾	生蚝	烤牛仔骨	珊瑚蚌	玉米饼	大白菜	滑牛肉	虾粥	波斯顿龙虾	刺身	三文鱼	多宝鱼	茼蒿	鲍鱼仔	厦门响螺	深海虾	圣子皇	虾滑	象拔蚌	雪花肥牛	基围虾	鲍鱼",没想到生意“居然这么好”，来晚了“差点没位子”。“浓汁圣汤”锅底果然“鲜香浓郁”，值得“多喝几碗”。涮菜自然要点鲍鱼，…
欧洲房子Lavender西餐厅,4,163,青羊区青羊大道优品道街168号(近光华大道),"金枪鱼	意大利肉酱面	甜点	意大利传统披萨	提拉米苏	水果沙拉	鹅肝酱	下午茶	面包‘",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
成都国学馆,3,146,文殊院街7号(近文武路),"无菜	传统演艺	会务	讲座	孔子六道茶	国学培训	易学咨询	会员商务	文化艺术	健康养生",干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
仁和川菜酒楼(玉双路店),4.3,100,玉双路1号玉双大厦,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
肯德基(双桥子店),4,144,成华区 双桥子北京华联1楼,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",顺便还会逛一下超市，还是很不错。麦当劳就开在路的对面，还是很忠实的小伙伴
你好泰国餐厅,3.8,58,武侯区 望江路1号格林威治广场内,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
康记青石桥肥肠粉(龙泉店),4.5,13,四川省成都市龙泉驿区鸥鹏大道278号,"土豆炖牛肉, 番茄炒蛋, 炒青菜, 芹菜炒肉, 蘑菇炖鸡",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
食画·拾翠,4.5,171,跳蹬河街道建设南路99号(东郊记忆旁),"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",将工业风与川菜结合在一起，创意十足的川菜餐厅。
65度咖啡,3.9,125,佳灵路7号红牌楼广场商业街2栋2层79号（万达国际影城大厅内),"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
重庆胖二火锅,3.9,74,四川省成都市金牛区茶店子街道五里墩中街22-24号(奥林体育馆后门),"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
小阁楼烧烤(临邛店),3.5,28,邛崃市临邛镇邛陶路47-55号(近天阜名城),"粉子醪糟蛋	新疆天山梅子酒	自创名菜	香烤鲫鱼	江湖烤串	香菇炖肉面	小阁楼抄手	香酥小河鱼	番茄牛肉小汤锅	蜜制中翅	麻辣脆笋面	麻辣兔头	香卤鸭头	香辣干锅系列	香辣烤全茄	卤粉	卤素	卤菜	各类卤菜	各类小吃	布丁	烤翅	烤茄子	烤鱼",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
天伦铭爵(芳草西二街店),4.6,109,武侯区 芳草西二街32号,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
观庭,4.7,77,青羊区 锦里东路2号宏达大厦3-5楼,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
西啤士,4.2,89,锦江区 琉璃路712号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
欧洲房子格莱美香槟餐吧,3.6,151,武侯区 科华北路60号SOHO沸城商业街,牛排、香槟、咖啡、沙拉、点心、水果沙拉、西冷牛排、espresso、三文鱼、南瓜汤、卡布奇诺、咖啡、摩卡、提拉米苏、格莱美香槟慕斯、海鲜意面、炸鱿鱼圈、番茄牛尾汤、红酒杰卡西、色拉、西班牙海鲜饭、西红柿牛肉汤、黄桃冰激凌,炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
名流酒楼,4.4,83,红牌楼路445号(近武侯大道),"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
香巴拉藏餐(总店),4.3,56,四川省成都市武侯祠东街新3号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",粉蒸肉，五花肉裹满蒸粉后蒸制而成，软糯不腻，入口即化，米粉的香气完美渗入肉中。
大邑特色肥肠血旺,3.6,64,武侯区 簇桥公园到早市间通11厂路,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
锦城壹号河鲜邮轮,5,176,滨河路二段戛纳湾滨河码头锦城1号游轮,"苦瓜炒蛋, 炒苦瓜, 香煎鸡排, 家常炒豆角, 粉蒸排骨",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
琉璃会,3,136,青羊区窄巷子33号院,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
老妈鱼头,3.5,70,青羊区西大街88号西岸蒂景后侧,"活兔（忘名字了）	生煎肥肠	干香五花肉	老妈鱼头",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
红伞王养生堂(一品天下店),4.5,66,金牛区 羊西线一品天下大街,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
釜山料理(富力天汇店),4.4,80,青羊区 顺城大街289号富力天汇MALL,"肥牛	五花肉",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
肯德基(锦华店),4.5,35,四川省成都市锦江区锦华路一段68号万达广场F2（3号门旁）,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
星巴克臻选(成都双楠鹭岛店),3.7,43,双楠村鹭岛国际社区中的鹭岛步行街1楼4单元,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
良木缘咖啡(西郡店),4.7,58,晋阳路215号西郡香林二楼,"抹茶泡芙, 香草黑曲奇泡芙, 香草酥皮泡芙, 宇治抹茶曲奇, 香草泡芙",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
Dave's Oasis (大卫馆),3.5,51,锦江区滨江中路1号附22号(近盐道街中学),pizza,酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
日式海鲜自助烤肉精品套餐,4.5,112,锦江区 春熙路东段1号,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
游家院子,4.1,97,广都大道4-700,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
毛家鸡杂火锅店,3.7,73,肖家河西二巷1号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
西蜀人家烤全羊(高新店),4.4,149,华府大道二段158号西蜀人家院内,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",...是10个人的份量，吃烤全羊都是在蒙古包里的房间吃的，不过这里环境真心好，亭台楼阁，小桥流水都有
张砂锅,4.5,25,郫县犀浦镇上街177号(近中国移动营业厅),"金针菇	番茄滑牛柳	烂肉豌豆	黄喉	青豆肥肠	耗儿鱼	牛肉	青椒皮蛋	素三鲜	麻辣腰片	麻辣肉片	麻辣牛肉片	干拌牛肉",三鲜肉片、大排骨也是很推荐的，大排骨下面的土豆由于油的作用，轻微焦糊，吃起来很香很入味
兄弟手提串串(武侯总店),4.2,76,四川省成都市玉林街道二环路南三段玉林南街12号附18号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",可能也就10多张桌子吧、生意还是挺好的，一会就坐满了，手提式串串就是冷锅串串，还是先选菜，煮好...
满堂香家庭厨房(电信店),4,46,玉林街道电信路24号附2号(近华西医院),"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
玉德茶楼,4,73,四川省成都市成华区玉双路2号附3号二层,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
安德鲁森(交桂店),4.5,24,四川省成都市金牛区交桂路120号（交大智能小区一期）,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
翡翠湖畔,4.8,70,锦江区 华润路1号华润翡翠城内,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
老北京涮羊肉,4.2,56,青羊区 金沙金凤路,"羊肉	西瓜",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
四季御庭酒楼,4.5,299,紫瑞北街16号(中海名城后),"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",地道菜品种类丰富，食材新鲜令人难忘
李雪牛杂火锅(净居寺店),4.4,42,锦江区 二环路净居寺美食广场,千丝牛肚,辣子鸡，小块的鸡肉外酥里嫩，辣椒的香辣与花椒的麻完美结合，每一口都让人热血沸腾。
川粤汇酒楼(簇桥店),3.5,64,武侯区福锦路288号金海岸世纪大酒店2-3楼(近簇桥公园),"酸汤肥牛	小炒肉	牛仔骨	青椒鸭血	水豆豉蒸红沙	口福鱼	金瓜鲍鱼仔	大刀耳片	特色大甲鱼	鲍鱼仔	折耳根拌巴骨肉	豆捞鱼片	等等	红糖锅盔	手撕鸡",台式卤肉饭，细腻的卤肉酱与白米饭交融，搭配香煎荷包蛋，家常味中透着浓浓的幸福感。
好利来(三槐树店),4.7,71,三槐树路10号附16号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
Paparoti罗蒂爸爸,3.6,65,锦江区 春熙路联升巷33号附6号,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
馄饨蒸饺大王,3.5,136,锦江区总府路31号四川宾馆西楼(近暑袜北二街),"香酱拌面	东莞粤式炒米粉	馄饨",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
李庄白肉酒楼(小天竺街店),3.5,31,武侯区黉门街6号铜锣湾广场1楼,"清炒豌豆尖	夫妻肺片	小炒肉	红苕粥	李庄白肉	白肉",别被“酒楼”二字震到了，其实就是个“苍蝇馆子”。“招牌”白肉分“大小份”，切得“跟纸片一样薄”，蘸下“蒜泥加小米辣”的…
曾姐饮食店,4.8,65,武侯区 创业路19号,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
金钩钓辣子鸡,3.5,57,龙泉驿区成龙大道刘家花园旁(近成龙大道绕城入口),"炒鸡	一鸡多吃	吊锅饭	青花椒鱼	红烧鸡血	鸡杂	烤花蛇	青花椒鲢鱼	卤拼	双椒鸡	辣子鸡",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
哈尔滨饺子馆,3.6,15,武侯区 玉林西路玉林小酒馆旁,"猪肉香菜饺子	饺子",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
重庆奇香花生,3.6,10,青羊区 长顺上街菜市场对面,"瓜子	花生占",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
外滩北京烤鸭饭庄(大石西路店),3.9,64,四川省成都市青羊区大石西路80号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",味道好极了，服务也超级棒！
麦的多(航天店),4.5,15,四川省成都市龙泉驿区龙泉街道天生路20号（天生路20号）,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
四川岷山饭店·THE RIVER HOUSE西餐厅,4.7,705,人民南路二段55号21楼,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",21层尽览都市美景，精巧西食匠心独运
东郊食堂(建设南路店),4.3,58,建设南路91号东区音乐公园北街11号(近东郊记忆),"凉粉	绍子蒸蛋	炒猪肝	糯米蒸排骨	腊肉饭	豆花	盅盅红烧肉	豆汤饭	天府毛血旺	茄子烧豆角	萝卜棒骨汤	酱油饭",怀旧装潢+正宗味道=口感超赞！
食画花园餐厅(东郊记忆店),4.3,156,建设南路89号(东郊记忆北大门),"抹茶泡芙, 香草黑曲奇泡芙, 香草酥皮泡芙, 宇治抹茶曲奇, 香草泡芙",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
明悦大酒店大堂吧,5,119,武侯区 永丰路55号明悦大酒店1楼(永丰立交桥旁),"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
李记无名蘸水肥肠粉(长冶路二段店),4,44,四川省成都市双流区东升街道长冶路二段139-141号,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
雅聚吧,3.5,98,武侯区人民南路四段42号凯宾斯基饭店1楼前台附近,"热卡布其诺	热拿铁",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
万春卤菜,3,135,郫县犀浦镇美食一条街,"凉粉	卤肥肠	卤排骨",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
樱和寿司,3.5,18,温江区德全路54号温江大学城交通职业技术学院后街,"鳗鱼手握	3文鱼	一口芝士卷	樱花卷	樱花小卷	没有	章鱼军舰	蛋包饭	鳗鱼	黑蟹子",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
思蜀香火锅,4,66,武侯区武侯大道顺江段27号(武侯立交桥侧),"各种鞭	耗儿鱼	千层肚	黄喉",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
宜宾燃面(红星路店),5,123,锦江区红星路一段(近东城拐下街),"鸡杂燃面	生椒牛肉面",燃面是“干辣的那种”，“不是一般人能受得了”；配料和在宜宾吃过的“差不多”，“挺香的哈”。另有包子、粥之类的“多种搭配…
鱼米之乡(武侯祠店),2.6,66,高升桥东路17号附23号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
老田坎土鳝鱼庄(天府大道南段店),4.5,101,四川省成都市华府大道一段6号附42号(左岸花都1号门旁),"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
I-YOU面缘(新南店),4.6,20,四川省成都市武侯区新南路75号附11号,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
重庆刘一手火锅(玉双店),4.5,47,成华区 玉双路2号,"丸子	鹅肠	毛肚",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
都可茶饮,5,146,锦江区 盐市口新中兴广场,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",...选择，加点椰果或者红豆，并且都可店在成都也很多，到处都可以看到，价格都在10元左右，生意很好的
茶文化主题游园,3.6,66,青羊大道和家园路交叉口东南角,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
味美思烤鸭店,3.6,121,青羊区 草堂北支路39号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
冯记皇城肺片(桃蹊路店),3.5,75,成华区桃蹊路,肺片,宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
富顺石磨豆花饭庄,4.8,92,武侯区 大世界家乐福后街,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
山东杂粮煎饼,4,4,武侯区 一环路南段24号四川大学南门正对面巷子内,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
大嘴霸王排骨汤锅(川师直营总店),3.8,76,静安路7号校园广场1楼附102号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",生意很好，主要以汤锅和干锅为主，汤锅基本上都是养生汤，排骨莲藕是最常点了，还有就是野菌排骨汤，...
鼓楼智选假日酒店-餐厅,4.5,161,大墙西街72号(近鼓楼),"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",丰富的自助早餐，美味多样，让您早餐吃得开心！
月光水岸,3.5,40,都江堰市青城后山泰安古镇,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
川娃儿熊猫院子火锅(春熙路店),3.9,117,东大街下东大街段蓝光·时代华章1楼,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
南桥耙蹄花(玉林店),4.5,92,小天东街3号附3号,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
啄饮咖啡·手冲专门店,4.9,90,福字街18号2层,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
都江堰云途美宿餐厅,3.7,64,都江堰天马镇新民村2组19号,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
Depaso美食肉铺,4.9,91,祥鹤三街784号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",麻婆豆腐，滑嫩的豆腐裹满了红亮的辣油和牛肉末，麻辣鲜香，完美下饭。
芙蓉冒菜(传承店),4.8,121,忠烈祠东街15号（近地铁4号线太升南路站B口）,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
料创·石锅藤椒鱼(大邑店),4.1,66,四川省成都市大邑县潘家街四段475、477号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
大福食堂·山葵烤肉料理·拌饭(春熙路群光店),3.7,116,春熙路南段群光广场9楼,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
肖神仙·非遗羊肉汤(华阳店),3.9,140,天府新区华府大道一段4号附17-18号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
周丹丹大师烤串(兴隆湖店),4,105,四川省成都市双流区菁蓉南二街156号蓉港创智园西地块3栋3008号,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
葡萄PUTER Wine Bar,3.6,91,莲花新区北二巷2号,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",香辣毛血旺，各种食材漂浮在红亮的汤底中，麻辣鲜香，每一口都让人酣畅淋漓。
青城山话夜民宿 (中华大熊猫苑店 )·餐厅,3.8,106,都江堰石桥社区7组18号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",麻婆豆腐，滑嫩的豆腐裹满了红亮的辣油和牛肉末，麻辣鲜香，完美下饭。
